Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
BSEL-pool3.030	k__Bacteria (UID2982)	88	230	148	22	201	7	0	0	0	86.49	3.41	0.00
BSEL-pool3.031	p__Bacteroidetes (UID2605)	350	316	210	75	204	32	5	0	0	86.03	15.05	12.77
BSEL-pool3.032	o__Selenomonadales (UID1024)	64	334	167	55	183	58	33	5	0	87.04	53.20	59.89
BSEL-pool3.033	k__Bacteria (UID203)	5449	100	55	74	26	0	0	0	0	35.54	0.00	0.00
BSEL-pool3.034	k__Bacteria (UID203)	5449	104	58	15	58	24	6	1	0	75.86	18.03	22.92
BSEL-pool3.035	f__Spirochaetaceae (UID2535)	33	249	143	208	33	7	1	0	0	13.24	5.94	10.00
BSEL-pool3.036	k__Bacteria (UID203)	5449	104	58	51	24	29	0	0	0	75.69	41.38	89.66
BSEL-pool3.037	o__Clostridiales (UID1212)	172	263	149	2	258	3	0	0	0	98.66	0.78	0.00
BSEL-pool3.038	p__Bacteroidetes (UID2605)	350	316	210	85	206	23	2	0	0	67.39	5.63	27.59
BSEL-pool3.039	k__Bacteria (UID203)	5449	100	55	81	16	3	0	0	0	18.21	2.15	33.33
BSEL-pool3.040	k__Bacteria (UID209)	5443	105	59	16	87	2	0	0	0	93.22	3.39	100.00
BSEL-pool3.041	p__Bacteroidetes (UID2605)	350	316	210	18	292	6	0	0	0	92.38	1.60	16.67
BSEL-pool3.042	c__Clostridia (UID1118)	387	223	124	41	178	4	0	0	0	83.32	1.55	25.00
BSEL-pool3.043	o__Clostridiales (UID1212)	172	263	149	12	248	3	0	0	0	93.96	1.34	0.00
BSEL-pool3.044	p__Bacteroidetes (UID2605)	350	316	210	113	194	8	1	0	0	65.16	3.97	18.18
BSEL-pool3.045	k__Bacteria (UID2495)	2993	147	91	42	99	5	1	0	0	73.44	6.04	50.00
BSEL-pool3.046	k__Bacteria (UID2329)	174	149	89	73	66	9	1	0	0	60.52	7.30	0.00
BSEL-pool3.047	k__Bacteria (UID2982)	88	230	148	26	197	6	0	1	0	85.04	4.46	0.00
BSEL-pool3.048	k__Bacteria (UID2569)	434	278	186	27	236	15	0	0	0	93.89	6.45	6.67
BSEL-pool3.049	c__Clostridia (UID1118)	387	223	124	16	206	1	0	0	0	90.32	0.27	0.00
BSEL-pool3.050	o__Clostridiales (UID1120)	304	247	141	77	160	10	0	0	0	67.59	0.91	90.00
BSEL-pool3.051	k__Bacteria (UID203)	5449	104	58	84	20	0	0	0	0	29.31	0.00	0.00
BSEL-pool3.052	c__Clostridia (UID1118)	387	223	124	32	151	40	0	0	0	80.51	18.97	0.00
BSEL-pool3.053	k__Bacteria (UID203)	5449	100	55	57	26	16	1	0	0	55.53	30.00	89.47
BSEL-pool3.054	k__Bacteria (UID2495)	2993	147	91	57	71	16	2	1	0	67.37	14.97	17.86
BSEL-pool3.055	o__Clostridiales (UID1120)	304	247	141	97	148	2	0	0	0	48.58	0.89	50.00
BSEL-pool3.056	k__Bacteria (UID209)	5443	105	59	8	87	9	1	0	0	95.84	3.78	0.00
BSEL-pool3.057	k__Bacteria (UID203)	5449	103	57	77	20	4	2	0	0	28.34	7.18	50.00
BSEL-pool3.058	c__Bacilli (UID259)	750	275	151	13	219	36	5	2	0	93.71	18.30	0.00
BSEL-pool3.059	k__Archaea (UID2)	207	149	107	13	60	46	21	6	3	88.79	63.40	10.86
BSEL-pool3.060	o__Clostridiales (UID1120)	304	247	141	39	120	84	4	0	0	87.72	44.21	2.08
BSEL-pool3.061	o__Clostridiales (UID1120)	304	250	143	109	116	21	4	0	0	58.69	9.84	21.21
BSEL-pool3.062	k__Bacteria (UID203)	5449	98	53	17	34	42	4	1	0	93.62	76.55	3.33
BSEL-pool3.063	k__Bacteria (UID203)	5449	103	57	50	24	27	2	0	0	69.94	45.61	21.21
BSEL-pool3.064	k__Bacteria (UID203)	5449	103	58	8	57	32	6	0	0	91.22	50.17	4.00
BSEL-pool3.065	k__Bacteria (UID2982)	88	230	148	28	180	20	2	0	0	83.07	11.82	7.69
BSEL-pool3.066	k__Bacteria (UID203)	5449	104	58	78	14	5	4	1	2	37.57	43.10	24.53
BSEL-pool3.067	k__Bacteria (UID2329)	174	149	89	70	64	12	3	0	0	36.17	9.99	0.00
BSEL-pool3.068	o__Bacteroidales (UID2716)	92	487	270	112	366	8	1	0	0	75.98	1.98	18.18
BSEL-pool3.069	k__Bacteria (UID2329)	174	149	89	7	99	38	4	1	0	93.26	44.70	1.79
BSEL-pool3.070	k__Bacteria (UID2569)	434	278	186	52	175	50	1	0	0	82.40	22.49	0.00
BSEL-pool3.071	k__Bacteria (UID203)	5449	104	58	71	17	8	6	2	0	50.16	43.97	28.95
BSEL-pool3.072	o__Clostridiales (UID1212)	172	263	149	150	75	29	5	2	2	40.39	17.80	10.53
BSEL-pool3.073	k__Bacteria (UID203)	5449	103	57	90	11	0	1	1	0	21.93	8.77	0.00
BSEL-pool3.074	k__Bacteria (UID2372)	131	176	105	57	97	19	3	0	0	78.63	16.06	57.14
BSEL-pool3.075	o__Clostridiales (UID1120)	304	247	141	67	160	20	0	0	0	81.62	7.61	0.00
BSEL-pool3.076	k__Bacteria (UID203)	5449	103	57	87	13	3	0	0	0	20.51	4.39	33.33
BSEL-pool3.077	k__Bacteria (UID203)	5449	104	58	51	23	16	6	6	2	71.82	84.64	0.00
BSEL-pool3.078	k__Bacteria (UID2982)	88	230	148	159	64	7	0	0	0	29.31	3.38	0.00
BSEL-pool3.079	o__Clostridiales (UID1120)	304	247	141	89	86	66	6	0	0	69.35	35.02	50.00
BSEL-pool3.080	k__Bacteria (UID203)	5449	103	57	83	17	3	0	0	0	28.36	4.39	33.33
BSEL-pool3.081	k__Bacteria (UID203)	5449	103	57	44	27	11	9	7	5	44.47	22.39	1.43
BSEL-pool3.082	k__Bacteria (UID203)	5449	104	58	62	27	15	0	0	0	55.82	23.28	0.00
BSEL-pool3.083	k__Bacteria (UID203)	5449	104	58	92	10	2	0	0	0	16.18	3.45	0.00
BSEL-pool3.084	c__Gammaproteobacteria (UID4444)	263	507	232	96	400	11	0	0	0	77.94	2.47	9.09
BSEL-pool3.085	k__Bacteria (UID203)	5449	103	57	10	71	15	6	1	0	89.71	13.03	2.56
BSEL-pool3.086	k__Bacteria (UID203)	5449	103	57	63	27	10	3	0	0	51.28	24.56	0.00
BSEL-pool3.087	k__Bacteria (UID2982)	88	230	148	128	90	12	0	0	0	49.00	6.55	33.33
BSEL-pool3.088	o__Clostridiales (UID1212)	172	263	149	158	89	15	0	1	0	43.35	9.03	9.52
BSEL-pool3.089	o__Clostridiales (UID1120)	304	250	143	36	197	16	1	0	0	85.57	7.56	0.00
BSEL-pool3.090	o__Clostridiales (UID1212)	172	263	149	159	102	1	1	0	0	40.08	1.01	0.00
