Bin Id	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
BSEL-pool2.011	6	1	UID1215	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_3;g__Clostridium_3	f__;g__;s__	47.8391585133	0.995191	1205	0.934121188797	11	2	45.9519412469	0.298841029031	3.166006	0.082056	2891.0	23.0
BSEL-pool2.012	21	0	UID2616	k__Bacteria;p__Bacteroidetes	c__Bacteroidia;o__Bacteroidales	47.4963142274	0.776635	813	0.940468817398	11	339	41.2085843471	6.09138086841	3.91522416224	1.35300552133	3422.87610619	1091.16090759
BSEL-pool2.013	0	0	NA	NA	unresolved	42.1874255506	1.196283	1447	0.891535698493	11	NA	NA	NA	NA	NA	NA	NA
BSEL-pool2.014	39	3	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	59.4197145323	1.985023	1867	0.902865105341	11	155	43.8662319998	5.38173164231	3.83973887097	1.10445518803	3649.4	1062.30653859
BSEL-pool2.015	42	0	UID2536	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	g__Sphaerochaeta	51.3590190528	2.101479	1949	0.927524376879	11	5	48.7487949991	1.4146619744	3.6730384	0.894732632953	3403.2	900.338691827
BSEL-pool2.016	42	0	UID2372	k__Bacteria;p__Tenericutes;c__Mollicutes	o__Erysipelotrichales;f__Erysipelotrichaceae	36.0773911571	1.618066	1530	0.931734552237	11	131	29.5145606534	5.21378913358	1.25206398473	0.907346776529	1158.4351145	975.163936887
BSEL-pool2.017	14	1	UID1215	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_3;g__Clostridium_3	f__;g__;s__	47.3961933475	1.264418	1706	0.939779408392	11	2	45.9519412469	0.298841029031	3.166006	0.082056	2891.0	23.0
BSEL-pool2.018	3	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	50.4035933696	0.892978	1206	0.931511190645	11	213	44.6136469867	4.37190585704	4.16594949296	1.44014248458	3559.19248826	1160.01352815
BSEL-pool2.019	23	4	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	53.9919006	1.870262	2225	0.938600581095	11	213	44.6136469867	4.37190585704	4.16594949296	1.44014248458	3559.19248826	1160.01352815
BSEL-pool2.020	33	9	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	58.7304502573	2.069017	2197	0.946425766439	11	213	44.6136469867	4.37190585704	4.16594949296	1.44014248458	3559.19248826	1160.01352815
BSEL-pool2.021	5	0	UID1215	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_3;g__Clostridium_3	f__;g__;s__	42.8596837202	1.411219	2036	0.88121687704	11	2	45.9519412469	0.298841029031	3.166006	0.082056	2891.0	23.0
BSEL-pool2.022	42	1	UID2329	k__Bacteria	p__Tenericutes;c__Mollicutes	26.8966983546	1.38749	1474	0.916974536753	11	174	29.3511519692	4.74536573391	1.46226449425	0.950537413827	1377.33908046	1002.10203496
BSEL-pool2.023	43	0	UID2558	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	unresolved	40.0202910773	3.019061	2890	0.923045277985	11	8	45.148076421	5.30535262368	2.984051125	0.279084070065	2658.25	194.214282431
BSEL-pool2.024	42	1	UID235	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Jonquetella	g__Pyramidobacter;s__Pyramidobacter_piscolens	60.5916189817	2.593933	2387	0.882521637991	11	3	59.4391349619	0.355435098056	2.00816866667	0.394223208589	2098.33333333	521.930604157
BSEL-pool2.025	30	12	UID2993	k__Bacteria	p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	55.3577910691	2.443535	2231	0.941637013589	11	77	42.9388897508	7.08947795852	1.8711955974	1.6729307037	1670.83116883	1381.87024973
BSEL-pool2.026	6	0	UID1150	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Clostridiales_Family_XIII._Incertae_Sedis;g__Anaerovorax;s__Anaerovorax_odorimutans	49.5009547455	1.730304	2085	0.912268595576	11	3	41.524809725	8.82559851435	2.48940333333	0.572763098905	2318.33333333	509.229701499
BSEL-pool2.027	19	15	UID1027	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae	g__Phascolarctobacterium;s__	50.1335028218	2.607061	3061	0.87573439977	11	6	50.5936678297	2.50409466221	2.28418616667	0.110614576722	2222.83333333	126.004519319
BSEL-pool2.028	34	5	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis	61.7521571584	3.937124	3065	0.916233270783	11	13	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
BSEL-pool2.029	19	16	UID2774	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	s__Prevotella_ruminicola	50.9858589079	2.434324	3186	0.950530003401	11	8	48.0351395463	0.563365397107	3.46318025	0.129991748041	2854.5	138.379911837
BSEL-pool2.030	20	15	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	56.2486699277	3.773291	3659	0.952699380991	11	213	44.6136469867	4.37190585704	4.16594949296	1.44014248458	3559.19248826	1160.01352815
BSEL-pool2.031	33	5	UID1119	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	58.22453169	3.438214	3022	0.886316849388	11	355	36.5645182099	8.12418154582	3.72499125634	1.06187422942	3524.90704225	988.869278779
BSEL-pool2.032	29	14	UID2618	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	unresolved	40.3078048385	4.867045	4555	0.902677497332	11	207	44.2786566854	3.95055024991	4.19324544928	1.44938309047	3579.7294686	1168.66293569
BSEL-pool2.033	28	1	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	44.486038709	2.227337	2321	0.917212348199	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
BSEL-pool2.034	42	0	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	43.461797973	2.882635	2459	0.91755217015	11	155	43.8662319998	5.38173164231	3.83973887097	1.10445518803	3649.4	1062.30653859
BSEL-pool2.035	18	2	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	54.1784020635	3.162441	3039	0.903690851466	11	155	43.8662319998	5.38173164231	3.83973887097	1.10445518803	3649.4	1062.30653859
BSEL-pool2.036	43	0	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis	53.8985223957	4.667217	3900	0.923065287087	11	13	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
BSEL-pool2.037	17	12	UID1148	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	44.0489695303	1.457151	1934	0.93164400944	11	5	39.2467641724	7.96711888391	2.871139	1.62536946613	2692.8	1550.0463735
BSEL-pool2.038	31	1	UID1293	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	44.1252399658	1.229863	1669	0.944731242423	11	35	41.1826731883	2.27312843919	4.051379	0.584466320132	3605.57142857	499.270341067
BSEL-pool2.039	16	25	UID2993	k__Bacteria	p__Verrucomicrobia	61.2217657378	4.317538	3383	0.936063098924	11	77	42.9388897508	7.08947795852	1.8711955974	1.6729307037	1670.83116883	1381.87024973
BSEL-pool2.040	19	4	UID2774	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	s__Prevotella_ruminicola	47.0261350851	3.731306	4150	0.94398020425	11	8	48.0351395463	0.563365397107	3.46318025	0.129991748041	2854.5	138.379911837
BSEL-pool2.041	40	0	UID3053	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	f__Verrucomicrobia_subdivision_3;g__Pedosphaera;s__Pedosphaera_parvula	49.4258826036	2.552788	2074	0.905522119346	11	7	55.5776172047	5.68274754991	4.11986942857	2.35804988334	3712.85714286	1824.78894502
BSEL-pool2.042	43	0	UID2361	k__Bacteria;p__Tenericutes;c__Mollicutes	o__Acholeplasmatales;f__Acholeplasmataceae	30.4710993536	2.73679	2906	0.910857245167	11	142	29.3784237426	5.08981091676	1.24185377465	0.879100396967	1150.33098592	943.574136468
BSEL-pool2.043	3	0	UID2562	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	s__	40.516525978	0.497671	677	0.953155799715	11	3	40.4149420285	0.196754115237	3.07034	0.18165678311	2695.33333333	162.393212776
BSEL-pool2.044	31	0	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis	66.8508563967	3.214982	2685	0.893766123729	11	13	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
BSEL-pool2.045	41	1	UID1119	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	52.7337350569	1.656031	1339	0.934407628843	11	355	36.5645182099	8.12418154582	3.72499125634	1.06187422942	3524.90704225	988.869278779
BSEL-pool2.046	17	2	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis	63.8101608374	1.729759	1460	0.946242800298	11	13	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
BSEL-pool2.047	3	3	UID3053	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	f__Verrucomicrobia_subdivision_3;g__Pedosphaera;s__Pedosphaera_parvula	41.5978115751	3.21327	3791	0.896161853812	11	7	55.5776172047	5.68274754991	4.11986942857	2.35804988334	3712.85714286	1824.78894502
BSEL-pool2.048	7	0	UID2981	k__Bacteria	p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter_succinogenes	48.337653518	2.685842	3102	0.911787067147	11	2	42.9626862761	5.0891583566	3.0447275	0.7979075	2528.5	659.5
BSEL-pool2.049	9	9	UID2558	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	unresolved	45.7328665032	4.28707	4812	0.885383257096	11	8	45.148076421	5.30535262368	2.984051125	0.279084070065	2658.25	194.214282431
BSEL-pool2.050	19	3	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	36.3177874141	7.141038	9263	0.902309160097	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
BSEL-pool2.051	13	3	UID2981	k__Bacteria	p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter_succinogenes	55.4904762959	2.302833	2647	0.902074531675	11	2	42.9626862761	5.0891583566	3.0447275	0.7979075	2528.5	659.5
BSEL-pool2.052	10	3	UID2561	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	unresolved	39.9225927801	0.27646	292	0.979060261882	11	5	42.7108865335	5.25774639831	3.1115962	0.229859258677	2759.0	154.20765221
BSEL-pool2.053	16	20	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	54.3858094475	3.092029	3170	0.951807373087	11	213	44.6136469867	4.37190585704	4.16594949296	1.44014248458	3559.19248826	1160.01352815
BSEL-pool2.054	22	7	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis	60.9862762429	2.014973	2022	0.940061727874	11	13	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
BSEL-pool2.055	7	0	UID1150	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Clostridiales_Family_XIII._Incertae_Sedis;g__Anaerovorax;s__Anaerovorax_odorimutans	48.9608806488	0.944213	1443	0.951231342928	11	3	41.524809725	8.82559851435	2.48940333333	0.572763098905	2318.33333333	509.229701499
BSEL-pool2.056	16	7	UID2566	k__Bacteria	unresolved	58.6972058442	3.376297	3795	0.957932610786	11	525	42.588785261	7.01104947332	3.85675681905	1.76836328516	3363.96571429	1451.8143246
BSEL-pool2.057	9	7	UID1149	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	51.6249159032	1.394226	1744	0.945866021721	11	4	41.2839852187	7.65456603479	2.13817775	0.784934014274	1988.25	722.04652724
BSEL-pool2.058	4	1	UID1027	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae	g__Phascolarctobacterium;s__	49.2030046282	1.35258	2018	0.87326516731	11	6	50.5936678297	2.50409466221	2.28418616667	0.110614576722	2222.83333333	126.004519319
BSEL-pool2.059	4	5	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis	66.5731264079	3.166551	4270	0.938180689337	11	13	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
BSEL-pool2.060	8	3	UID1121	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Eubacteriaceae	60.4603355774	4.717124	6142	0.940488526484	11	132	30.5712363924	4.45267476019	3.54186193939	0.949794343132	3358.54545455	876.530042041
BSEL-pool2.061	13	5	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	63.1381064695	2.64564	3449	0.937389818721	11	4	54.936132268	3.97742114581	4.187599	1.14915573988	4522.75	1321.7663135
BSEL-pool2.062	15	16	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	37.3976683485	1.887246	2017	0.951720655389	11	155	43.8662319998	5.38173164231	3.83973887097	1.10445518803	3649.4	1062.30653859
BSEL-pool2.063	38	4	UID2571	k__Bacteria	p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales	29.1613751317	3.970965	4441	0.908398336425	11	14	49.3214646142	6.40690458662	2.7543095	0.465463349511	2529.92857143	379.490723449
BSEL-pool2.064	26	17	UID227	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae	unresolved	57.5018157189	4.246252	4426	0.90214923655	11	6	59.2239800321	4.97128984944	2.77581483333	0.708019003304	2597.83333333	602.783105455
BSEL-pool2.065	5	0	UID1148	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	35.7377619262	2.300505	2906	0.911620709366	11	5	39.2467641724	7.96711888391	2.871139	1.62536946613	2692.8	1550.0463735
BSEL-pool2.066	20	6	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	62.5086851075	2.44096	3211	0.915858105008	11	155	43.8662319998	5.38173164231	3.83973887097	1.10445518803	3649.4	1062.30653859
BSEL-pool2.067	7	5	UID1120	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	54.7261920507	3.85617	4938	0.91605556809	11	304	37.7948489226	8.10024984371	3.72449501645	1.04745727283	3521.08223684	983.518965621
BSEL-pool2.068	32	8	UID1234	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	f__Peptostreptococcaceae;g__Clostridium;s__Clostridium_leptum	50.8923264005	2.723611	2741	0.913515916921	11	2	52.8718895631	2.68662050941	3.1393425	0.1307665	3428.5	554.5
BSEL-pool2.069	0	0	NA	NA	unresolved	48.3065435921	0.282322	333	0.892934309051	11	NA	NA	NA	NA	NA	NA	NA
BSEL-pool2.070	14	19	UID2719	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	unresolved	42.0009821169	4.384407	5763	0.917439234086	11	67	45.1626023331	4.79490525173	3.06571052239	0.380303181607	2648.01492537	324.492416145
BSEL-pool2.071	5	3	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	55.3522238349	1.896791	2868	0.899219787525	11	4	54.936132268	3.97742114581	4.187599	1.14915573988	4522.75	1321.7663135
BSEL-pool2.072	5	0	UID2562	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	s__Treponema_bryantii	41.3476085735	1.482567	2089	0.938982858785	11	3	40.4149420285	0.196754115237	3.07034	0.18165678311	2695.33333333	162.393212776
BSEL-pool2.073	13	3	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	unresolved	47.6356481274	2.364242	3360	0.90292660396	11	163	43.9810079425	3.66434051294	4.36625357669	1.41396204909	3725.02453988	1132.26471547
BSEL-pool2.074	10	2	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	58.2797269506	2.455087	3246	0.958763579458	11	213	44.6136469867	4.37190585704	4.16594949296	1.44014248458	3559.19248826	1160.01352815
BSEL-pool2.075	36	0	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	47.8697689006	1.275425	1432	0.907515534038	11	155	43.8662319998	5.38173164231	3.83973887097	1.10445518803	3649.4	1062.30653859
BSEL-pool2.076	27	9	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	53.4153394938	3.465512	4228	0.942043773041	11	3	45.0858076781	4.9662230383	3.45133666667	0.313208081975	2914.0	282.715404603
BSEL-pool2.077	13	13	UID1150	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Eubacteriaceae;g__Eubacterium	46.2775761312	0.158969	256	0.929747309224	11	3	41.524809725	8.82559851435	2.48940333333	0.572763098905	2318.33333333	509.229701499
BSEL-pool2.078	0	0	NA	NA	unresolved	47.8311258278	0.32616	484	0.853559602649	11	NA	NA	NA	NA	NA	NA	NA
BSEL-pool2.079	0	0	NA	NA	unresolved	45.9933964917	0.259559	406	0.892779676297	11	NA	NA	NA	NA	NA	NA	NA
BSEL-pool2.080	4	0	UID1247	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	51.5068838354	1.214294	1597	0.937537367392	11	134	42.6894707287	4.42534081496	3.87614192537	1.14067665452	3647.14925373	1083.46687548
