Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
BSEL-pool2.019	p__Bacteroidetes (UID2605)	350	316	210	126	166	23	1	0	0	58.31	8.82	23.08
BSEL-pool2.020	p__Bacteroidetes (UID2605)	350	316	210	34	200	66	12	4	0	86.11	33.83	15.87
BSEL-pool2.021	k__Bacteria (UID203)	5449	103	57	89	14	0	0	0	0	19.36	0.00	0.00
BSEL-pool2.022	k__Bacteria (UID2329)	174	149	89	5	136	8	0	0	0	94.38	7.30	0.00
BSEL-pool2.023	f__Spirochaetaceae (UID2535)	33	249	143	3	231	11	4	0	0	98.95	7.69	0.00
BSEL-pool2.024	k__Bacteria (UID209)	5443	105	59	0	102	3	0	0	0	100.00	5.08	0.00
BSEL-pool2.025	k__Bacteria (UID203)	5449	104	58	4	69	25	5	1	0	93.10	28.03	4.35
BSEL-pool2.026	k__Bacteria (UID203)	5449	103	58	60	42	1	0	0	0	59.48	1.72	0.00
BSEL-pool2.027	k__Bacteria (UID203)	5449	103	57	22	49	25	7	0	0	75.01	27.10	91.30
BSEL-pool2.028	k__Bacteria (UID2982)	88	230	148	22	191	15	2	0	0	86.46	4.43	4.76
BSEL-pool2.029	k__Bacteria (UID203)	5449	104	58	31	43	21	7	0	2	60.72	19.98	50.00
BSEL-pool2.030	k__Bacteria (UID203)	5449	104	58	8	54	34	8	0	0	98.75	47.45	15.52
BSEL-pool2.031	c__Clostridia (UID1118)	387	223	124	13	192	18	0	0	0	96.35	7.15	16.67
BSEL-pool2.032	k__Bacteria (UID203)	5449	104	58	2	80	8	11	3	0	96.55	20.63	11.86
BSEL-pool2.033	k__Bacteria (UID2495)	2993	143	89	24	109	9	1	0	0	87.27	10.86	16.67
BSEL-pool2.034	o__Clostridiales (UID1212)	172	263	149	3	254	6	0	0	0	98.66	2.71	0.00
BSEL-pool2.035	o__Clostridiales (UID1212)	172	263	149	83	153	26	1	0	0	71.88	11.46	24.14
BSEL-pool2.036	k__Bacteria (UID2982)	88	230	148	18	207	5	0	0	0	91.82	3.04	0.00
BSEL-pool2.037	k__Bacteria (UID203)	5449	103	58	40	48	10	3	2	0	51.59	3.45	16.13
BSEL-pool2.038	f__Lachnospiraceae (UID1286)	57	420	207	174	238	8	0	0	0	56.39	1.74	25.00
BSEL-pool2.039	k__Bacteria (UID203)	5449	104	58	3	60	40	1	0	0	96.39	21.36	0.00
BSEL-pool2.040	o__Bacteroidales (UID2716)	92	487	270	112	254	94	26	1	0	76.60	36.72	43.82
BSEL-pool2.041	k__Bacteria (UID2982)	88	230	148	56	169	4	1	0	0	69.43	4.05	0.00
BSEL-pool2.042	k__Bacteria (UID2328)	3167	126	75	0	107	15	3	1	0	100.00	32.00	3.33
BSEL-pool2.043	k__Bacteria (UID203)	5449	100	55	89	8	3	0	0	0	16.36	3.64	66.67
BSEL-pool2.044	k__Bacteria (UID2982)	88	230	148	35	178	17	0	0	0	89.26	9.66	5.88
BSEL-pool2.045	c__Clostridia (UID1118)	387	223	124	10	211	2	0	0	0	93.28	0.83	0.00
BSEL-pool2.046	k__Bacteria (UID2982)	88	230	148	116	100	11	3	0	0	51.32	7.91	20.00
BSEL-pool2.047	k__Bacteria (UID203)	5449	104	58	69	25	10	0	0	0	50.00	14.66	0.00
BSEL-pool2.048	k__Bacteria (UID203)	5449	104	58	62	38	4	0	0	0	57.05	6.03	0.00
BSEL-pool2.049	k__Bacteria (UID203)	5449	100	55	37	31	30	2	0	0	82.76	48.37	77.78
BSEL-pool2.050	k__Bacteria (UID2495)	2993	143	89	50	61	22	4	1	5	71.14	58.00	20.54
BSEL-pool2.051	k__Bacteria (UID2495)	2993	147	91	98	42	7	0	0	0	27.33	3.49	28.57
BSEL-pool2.052	f__Spirochaetaceae (UID2535)	33	249	143	220	23	2	4	0	0	5.53	1.02	28.57
BSEL-pool2.053	k__Bacteria (UID203)	5449	104	58	21	38	37	7	1	0	77.48	44.87	17.19
BSEL-pool2.054	k__Bacteria (UID2982)	88	230	148	96	116	18	0	0	0	54.33	5.55	11.11
BSEL-pool2.055	k__Bacteria (UID203)	5449	103	58	71	29	3	0	0	0	41.85	2.59	100.00
BSEL-pool2.056	k__Bacteria (UID2495)	2993	147	91	56	63	16	10	2	0	61.67	25.81	17.24
BSEL-pool2.057	k__Bacteria (UID203)	5449	103	58	49	39	11	3	1	0	60.41	14.79	34.62
BSEL-pool2.058	k__Bacteria (UID203)	5449	103	57	84	16	2	1	0	0	29.98	6.14	60.00
BSEL-pool2.059	k__Bacteria (UID203)	5449	104	58	57	27	13	7	0	0	64.25	39.29	23.53
BSEL-pool2.060	k__Bacteria (UID203)	5449	104	58	61	18	7	13	3	2	49.93	67.19	32.14
BSEL-pool2.061	o__Clostridiales (UID1212)	172	263	149	107	96	46	12	2	0	69.49	37.09	18.09
BSEL-pool2.062	k__Bacteria (UID203)	5449	103	57	26	44	24	8	1	0	72.97	33.68	22.22
BSEL-pool2.063	k__Bacteria (UID2570)	433	273	183	8	160	97	6	1	1	96.36	50.53	0.76
BSEL-pool2.064	k__Bacteria (UID203)	5449	104	58	1	44	55	4	0	0	98.28	72.65	0.00
BSEL-pool2.065	k__Bacteria (UID203)	5449	103	58	82	18	3	0	0	0	29.47	4.31	0.00
BSEL-pool2.066	o__Clostridiales (UID1212)	172	263	149	139	102	15	6	1	0	44.79	10.29	17.95
BSEL-pool2.067	k__Bacteria (UID203)	5449	104	58	62	27	11	4	0	0	53.79	28.45	26.09
BSEL-pool2.068	o__Clostridiales (UID1212)	172	263	149	18	217	27	1	0	0	91.59	9.75	0.00
BSEL-pool2.069	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
BSEL-pool2.070	k__Bacteria (UID203)	5449	104	58	27	37	24	12	2	2	69.78	31.67	8.70
BSEL-pool2.071	k__Bacteria (UID203)	5449	104	58	69	27	8	0	0	0	40.49	8.10	0.00
BSEL-pool2.072	k__Bacteria (UID203)	5449	100	55	81	12	6	1	0	0	24.13	9.09	44.44
BSEL-pool2.073	o__Bacteroidales (UID2617)	213	406	265	254	119	26	7	0	0	38.20	11.05	2.13
BSEL-pool2.074	p__Bacteroidetes (UID2605)	350	316	210	118	149	39	8	1	1	70.70	22.88	7.59
BSEL-pool2.075	o__Clostridiales (UID1212)	172	263	149	51	205	7	0	0	0	76.97	2.80	0.00
BSEL-pool2.076	o__Bacteroidales (UID2617)	213	406	265	97	189	93	21	5	1	73.21	38.64	1.53
BSEL-pool2.077	k__Bacteria (UID203)	5449	103	58	58	26	17	2	0	0	26.18	11.03	8.70
BSEL-pool2.078	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
BSEL-pool2.079	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
BSEL-pool2.080	k__Bacteria (UID203)	5449	103	57	79	21	3	0	0	0	31.53	5.26	0.00
