contig	orf	taxonomy	erfc	orf_taxonomy	refseq_product	refseq_evalue	refseq_bitscore	uniprot_ac	eggnog_ssid_b	eggnog_species_id	uniprot_id	cog_func_id	cog_id	cog_product	cog_level1_code	cog_level1_name	cog_level2_name	cazy_id1	cazy_id2	cazy_class	cazy_clan	cazy_product	cazy_gene_id	cazy_taxa	cazy_ec	ko_id	ko_level1_name	ko_level2_name	ko_level3_id	ko_level3_name	ko_gene_symbol	ko_product	ko_ec	eggnog_evalue	eggnog_bitscore
k81_10039	k81_10039_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprocola	1.0	Bacteroides coprocola	hypothetical protein	1.6999999999999998e-47	196.8	B3JQ19	BACCOP_04051	470145.0	B3JQ19_9BACE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.7000000000000004e-48	196.8
k81_10042	k81_10042_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella copri	gliding motility protein GldL	2e-46	192.6	D1PG28	PREVCOP_06191	537011.0	D1PG28_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4e-47	192.6
k81_10042	k81_10042_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella buccae	gliding motility-associated lipoprotein GldK	4.199999999999997e-251	874.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4999999999999993e-251	874.4
k81_10044	k81_10044_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	hypothetical protein	2.7999999999999994e-151	542.3	D1P9N8	PREVCOP_03929	537011.0	D1P9N8_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.599999999999997e-152	542.3
k81_1005	k81_1005_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	cell surface protein SprA	0.0	1866.7	D1PHI7	PREVCOP_06707	537011.0	D1PHI7_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	1866.7
k81_10056	k81_10056_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	1.0	Bacteroidales	MULTISPECIES: hypothetical protein	9.8e-61	240.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7e-61	240.4
k81_1006	k81_1006_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	glycoside hydrolase	1.0999999999999996e-225	790.0	D1P8P4	PREVCOP_03579	537011.0	D1P8P4_9BACT	NA	NA	NA	NA	NA	NA	GH105	GH28	GH	NA	Glycosyl hydrolase, family 88 (EC 3.2.1.-)	PREVCOP_03579	Prevotella copri DSM 18205	3.2.1.-	NA	NA	NA	NA	NA	NA	NA	NA	2.8999999999999985e-226	790.0
k81_10060	k81_10060_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis	1.0	Bacteroides faecis	hypothetical protein	3.399999999999999e-206	725.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_10064	k81_10064_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	hypothetical protein	1.4999999999999997e-71	276.9	D1P8P2	PREVCOP_03577	537011.0	D1P8P2_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9999999999999994e-72	276.9
k81_10065	k81_10065_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	Xaa-Pro aminopeptidase	2.5999999999999997e-76	292.4	D1PBU2	PREVCOP_04672	537011.0	D1PBU2_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.099999999999998e-77	292.4
k81_10066	k81_10066_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	transcription termination factor Rho	9.199999999999997e-86	323.9	D1P9V5	PREVCOP_03842	537011.0	D1P9V5_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5e-86	323.9
k81_10073	k81_10073_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	1.0	Bacteroidales	MULTISPECIES: hypothetical protein	1.4999999999999998e-67	263.1	D4IN79	AL1_20740	717959.0	D4IN79_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.199999999999999e-68	263.1
k81_10073	k81_10073_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_10074	k81_10074_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1.0	Bacteroides	MULTISPECIES: lipopolysaccharide cholinephosphotransferase LicD	1.4999999999999997e-105	389.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.1999999999999996e-106	389.8
k81_10077	k81_10077_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	7-cyano-7-deazaguanine synthase	9.799999999999999e-70	270.4	D1P983	PREVCOP_03740	537011.0	D1P983_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6999999999999998e-70	270.4
k81_10080	k81_10080_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. 109	1.0	Prevotella sp. 109	conjugal transfer protein TraG	1.1999999999999997e-109	403.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2999999999999993e-110	403.7
k81_10082	k81_10082_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	1.0	Bacteroides vulgatus	META domain-containing protein	6.399999999999999e-72	277.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.699999999999998e-72	275.4
k81_10083	k81_10083_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	hypothetical protein	8.199999999999997e-89	334.3	D1PC26	PREVCOP_04756	537011.0	D1PC26_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.699999999999998e-98	362.5
k81_10083	k81_10083_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	peptidase S9	1.7e-53	216.1	D1PC25	PREVCOP_04755	537011.0	D1PC25_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.599999999999999e-54	216.1
k81_10088	k81_10088_1	NA	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_10088	k81_10088_2	NA	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_10090	k81_10090_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides sp. D26	1.0	Parabacteroides sp. D26	LuxR family transcriptional regulator	8.599999999999999e-35	154.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1999999999999999e-52	211.5
k81_10093	k81_10093_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1.0	Bacteroides	MULTISPECIES: hypothetical protein	8.399999999999998e-72	277.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2999999999999994e-72	277.3
k81_10094	k81_10094_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1.0	Bacteroides	MULTISPECIES: histidine kinase	3.399999999999999e-85	322.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.399999999999999e-86	322.0
k81_10098	k81_10098_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella baroniae	1.0	Prevotella baroniae	glutamate dehydrogenase	1.2999999999999997e-132	480.3	E7RTI3	HMPREF0663_12056	873533.0	E7RTI3_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3999999999999997e-131	474.9
k81_10100	k81_10100_2	NA	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_10101	k81_10101_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	mechanosensitive ion channel protein	3.2999999999999993e-133	482.3	D1PHI3	PREVCOP_06703	537011.0	D1PHI3_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.999999999999997e-134	482.3
k81_10102	k81_10102_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella copri	peptidase S41	2e-52	212.6	D1P8T9	PREVCOP_03519	537011.0	D1P8T9_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8999999999999996e-54	216.9
k81_10102	k81_10102_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella copri	hypothetical protein	7.799999999999999e-79	300.8	D1P8U0	PREVCOP_03520	537011.0	D1P8U0_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0999999999999993e-79	300.8
k81_10102	k81_10102_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella buccae	peptidase M3	2.9999999999999983e-307	1061.6	D3HVM7	HMPREF0649_00309	575611.0	D3HVM7_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3999999999999993e-307	1060.8
k81_10107	k81_10107_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_10107	k81_10107_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	aminoacyl-histidine dipeptidase	1.3999999999999994e-231	809.7	D1P9N2	PREVCOP_03923	537011.0	D1P9N2_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8999999999999976e-232	809.7
k81_10110	k81_10110_1	NA	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_10111	k81_10111_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella copri	hypothetical protein	1.1000000000000002e-51	210.3	D1PDW4	PREVCOP_05408	537011.0	D1PDW4_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8999999999999998e-52	210.3
k81_10111	k81_10111_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella stercorea	phosphoenolpyruvate carboxykinase (ATP)	4.299999999999997e-297	1027.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4999999999999987e-279	966.8
