contig	orf	taxonomy	erfc	orf_taxonomy	refseq_product	refseq_evalue	refseq_bitscore
k81_4927	k81_4927_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	1	Bacteroides vulgatus	LruC domain-containing protein	1.4e-63	250.0
k81_2917	k81_2917_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	cofactor-independent phosphoglycerate mutase	2.3e-83	315.8
k81_4643	k81_4643_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: glucokinase	1.7e-66	259.6
k81_1528	k81_1528_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	2.5e-140	506.1
k81_9580	k81_9580_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	1	Bacteroides vulgatus	alpha-mannosidase	1.2e-102	380.2
k81_2561	k81_2561_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella albensis	1	Prevotella albensis	ATP-dependent DNA helicase RecQ	9.3e-90	337.8
k81_810	k81_810_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella buccae	1	Prevotella buccae	beta-galactosidase	6.5e-57	228.0
k81_9196	k81_9196_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	4.4e-67	261.5
k81_1555	k81_1555_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	1	Prevotella	MULTISPECIES: aconitate hydratase	4.2e-77	295.4
k81_3759	k81_3759_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	DNA polymerase III subunit alpha	2.7e-163	582.4
k81_348	k81_348_1		1.0	root	hypothetical protein	NA	NA
k81_33	k81_33_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella buccae	1	Prevotella buccae	periplasmic protein	1.1e-67	263.8
k81_5780	k81_5780_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	phenylalanine--tRNA ligase subunit alpha	4.7e-76	291.6
k81_7880	k81_7880_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	root	hypothetical protein	NA	NA
k81_7880	k81_7880_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: dihydrouridine synthase	2.2e-81	309.3
k81_2565	k81_2565_1		1.0	root	hypothetical protein	NA	NA
k81_6427	k81_6427_1		1.0	root	hypothetical protein	NA	NA
k81_4303	k81_4303_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: starch-binding protein	2.6e-73	282.3
k81_7204	k81_7204_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	root	hypothetical protein	NA	NA
k81_7204	k81_7204_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	4.0e-23	114.8
k81_6742	k81_6742_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	1	Bacteroides vulgatus	SusC/RagA family TonB-linked outer membrane protein	6.9e-66	257.7
k81_3046	k81_3046_1	k__Bacteria;p__Bacteroidetes	0.09589096714246548	root	hypothetical protein	NA	NA
k81_3046	k81_3046_2	k__Bacteria;p__Bacteroidetes	0.09589096714246548	Bacteroidetes bacterium oral taxon 272	hypothetical protein	8.8e-117	427.9
k81_3046	k81_3046_3	k__Bacteria;p__Bacteroidetes	0.09589096714246548	Anaerophaga thermohalophila	CRISPR-associated protein Cas5	4.7e-78	298.9
k81_3046	k81_3046_4	k__Bacteria;p__Bacteroidetes	0.09589096714246548	root	hypothetical protein	NA	NA
k81_3611	k81_3611_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 3_1_40A	1	Bacteroides sp. 3_1_40A	outer membrane protein assembly factor BamA	3.7e-90	338.6
k81_9413	k81_9413_1		1.0	root	hypothetical protein	NA	NA
k81_4203	k81_4203_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. KHD1	0.09589096714246548	Prevotella sp. KHD1	serine/threonine protein phosphatase	1.9e-114	419.9
k81_4203	k81_4203_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. KHD1	0.09589096714246548	Prevotella sp. KHD1	hypothetical protein	8.4e-49	201.1
k81_2934	k81_2934_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella shahii	sulfatase	1.2e-123	450.7
k81_2934	k81_2934_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella stercorea	arylsulfatase	3.8e-109	402.1
k81_10182	k81_10182_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	rubrerythrin	7.4e-103	380.9
k81_7693	k81_7693_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: RNA polymerase sigma factor	3.9e-30	137.9
k81_6227	k81_6227_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella enoeca	1	Prevotella enoeca	peptidase M23	6.9e-75	288.1
k81_7986	k81_7986_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	ATPase P	8.7e-76	290.8
k81_1811	k81_1811_1		1.0	root	hypothetical protein	NA	NA
k81_4822	k81_4822_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella baroniae	1	Prevotella baroniae	hypothetical protein	6.6e-106	392.1
k81_8628	k81_8628_1		1.0	root	hypothetical protein	NA	NA
k81_3903	k81_3903_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Bacteroidales	MULTISPECIES: hypothetical protein	1.0e-93	350.5
k81_3903	k81_3903_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Paraprevotella clara	conjugative transposon protein TraJ	7.0e-46	190.7
k81_39	k81_39_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella buccae	1	Prevotella buccae	peptidase S10	5.0e-129	468.4
k81_2397	k81_2397_1		1.0	root	hypothetical protein	NA	NA
k81_7644	k81_7644_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	1	Bacteroidales	MULTISPECIES: SusC/RagA family TonB-linked outer membrane protein	4.4e-86	325.1
k81_9301	k81_9301_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	DUF5103 domain-containing protein	6.8e-172	610.9
k81_2472	k81_2472_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella oryzae	1	Prevotella oryzae	glycan metabolism protein RagB	1.4e-84	320.5
k81_4201	k81_4201_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	ATPase	7.8e-227	793.9
k81_4201	k81_4201_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	root	hypothetical protein	NA	NA
k81_4201	k81_4201_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	root	hypothetical protein	NA	NA
k81_9088	k81_9088_1		1.0	root	hypothetical protein	NA	NA
k81_9088	k81_9088_2		1.0	root	hypothetical protein	NA	NA
k81_7677	k81_7677_1		1.0	root	hypothetical protein	NA	NA
k81_7695	k81_7695_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprocola	1	Bacteroides coprocola	IS4 family transposase	5.0e-140	505.0
k81_7199	k81_7199_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	hypothetical protein	2.1e-88	332.8
k81_7199	k81_7199_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	hypothetical protein	2.4e-144	519.2
k81_11	k81_11_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	two-component sensor histidine kinase	2.1e-174	619.4
k81_176	k81_176_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella multisaccharivorax	1	Prevotella multisaccharivorax	aminodeoxychorismate synthase component I	6.4e-57	228.0
k81_176	k81_176_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella multisaccharivorax	1	root	hypothetical protein	NA	NA
k81_176	k81_176_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella multisaccharivorax	1	root	hypothetical protein	NA	NA
k81_8525	k81_8525_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	root	hypothetical protein	NA	NA
k81_8525	k81_8525_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	outer membrane protein assembly factor BamD	3.2e-29	134.8
k81_7144	k81_7144_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	1.3e-67	263.5
k81_8916	k81_8916_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	Na+-translocating NADH-quinone reductase subunit B	4.1e-96	358.6
k81_8930	k81_8930_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella oryzae	1	Prevotella oryzae	starch-binding protein	9.9e-162	577.8
k81_442	k81_442_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: hypothetical protein	6.0e-54	217.6
k81_4764	k81_4764_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	methionine ABC transporter substrate-binding protein	7.5e-32	143.7
k81_226	k81_226_1		1.0	root	hypothetical protein	NA	NA
k81_9250	k81_9250_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	membrane protein	7.2e-89	334.3
k81_10017	k81_10017_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella albensis	1	Prevotella albensis	fructose-1,6-bisphosphatase	1.2e-118	433.7
k81_9717	k81_9717_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella bryantii	1	Prevotella bryantii	N-acetyl-gamma-glutamyl-phosphate reductase	3.0e-103	382.5
k81_639	k81_639_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella buccae	1	Prevotella buccae	acetylornithine carbamoyltransferase	1.1e-130	473.8
k81_6288	k81_6288_1		1.0	root	hypothetical protein	NA	NA
k81_7370	k81_7370_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	1	Bacteroides stercoris	hypothetical protein	1.5e-244	853.2
k81_6587	k81_6587_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	glycosyl transferase family 2	1.9e-52	212.6
k81_6587	k81_6587_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	elongation factor P	9.7e-103	380.6
k81_8162	k81_8162_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. P4-76	1	Prevotella sp. P4-76	hypothetical protein	6.6e-138	498.0
k81_2580	k81_2580_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	UDP-N-acetylenolpyruvoylglucosamine reductase	7.9e-80	304.3
k81_2580	k81_2580_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	hypothetical protein	7.0e-36	157.1
k81_1795	k81_1795_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	type I pullulanase	5.1e-78	298.1
k81_1795	k81_1795_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	root	hypothetical protein	NA	NA
k81_831	k81_831_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: DNA-directed RNA polymerase subunit beta'	1.3e-102	380.2
k81_9005	k81_9005_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	1	Bacteroides vulgatus	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	1.2e-79	303.5
k81_9081	k81_9081_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. P4-76	1	Prevotella sp. P4-76	hypothetical protein	1.4e-59	236.9
k81_7189	k81_7189_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Bacteroidales	MULTISPECIES: hypothetical protein	2.6e-49	202.2
k81_7189	k81_7189_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Bacteroides ovatus	hypothetical protein	3.2e-32	144.8
k81_2332	k81_2332_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella histicola	methionine--tRNA ligase	2.7e-90	339.3
k81_2332	k81_2332_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella copri	hypothetical protein	3.1e-122	445.7
